NCM,NCM_STR,NCM_DESCRICAO
1012100,01012100,-- Reprodutores de raça pura
1012900,01012900,-- Outros
1013000,01013000,- Asininos
1019000,01019000,- Outros
1022110,01022110,Prenhes ou com cria ao pé
1022190,01022190,Outros
1022911,01022911,Prenhes ou com cria ao pé
1022919,01022919,Outros
1022990,01022990,Outros
1023110,01023110,Prenhes ou com cria ao pé
1023190,01023190,Outros
1023911,01023911,Prenhes ou com cria ao pé
1023919,01023919,Outros
1023990,01023990,Outros
1029000,01029000,- Outros
1031000,01031000,- Reprodutores de raça pura
1039100,01039100,-- De peso inferior a 50 kg
1039200,01039200,-- De peso igual ou superior a 50 kg
1041011,01041011,Prenhes ou com cria ao pé
1041019,01041019,Outros
1041090,01041090,Outros
1042010,01042010,Reprodutores de raça pura
1042090,01042090,Outros
1051110,01051110,"De linhas puras ou híbridas, para reprodução"
1051190,01051190,Outros
1051200,01051200,-- Peruas e perus
1051300,01051300,-- Patos
1051400,01051400,-- Gansos
1051500,01051500,-- Galinhas-d'angola (pintadas)
1059400,01059400,-- Aves da espécie Gallus domesticus
1059900,01059900,-- Outros
1061100,01061100,-- Primatas
1061200,01061200,"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)"
1061300,01061300,-- Camelos e outros camelídeos (Camelidae)
1061400,01061400,-- Coelhos e lebres
1061900,01061900,-- Outros
1062000,01062000,- Répteis (incluindo as serpentes e as tartarugas marinhas)
1063100,01063100,-- Aves de rapina
1063200,01063200,"-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)"
1063310,01063310,"Avestruzes (Struthio camelus), para reprodução"
1063390,01063390,Outros
1063900,01063900,-- Outras
1064100,01064100,-- Abelhas
1064900,01064900,-- Outros
1069000,01069000,- Outros
2011000,02011000,- Carcaças e meias-carcaças
2012010,02012010,Quartos dianteiros
2012020,02012020,Quartos traseiros
2012090,02012090,Outras
2013000,02013000,- Desossadas
2021000,02021000,- Carcaças e meias-carcaças
2022010,02022010,Quartos dianteiros
2022020,02022020,Quartos traseiros
2022090,02022090,Outras
2023000,02023000,- Desossadas
2031100,02031100,-- Carcaças e meias-carcaças
2031200,02031200,"-- Pernas, pás e respectivos pedaços, não desossados"
2031900,02031900,-- Outras
2032100,02032100,-- Carcaças e meias-carcaças
2032200,02032200,"-- Pernas, pás e respectivos pedaços, não desossados"
2032900,02032900,-- Outras
2041000,02041000,"- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"
2042100,02042100,-- Carcaças e meias-carcaças
2042200,02042200,-- Outras peças não desossadas
2042300,02042300,-- Desossadas
2043000,02043000,"- Carcaças e meias-carcaças de cordeiro, congeladas"
2044100,02044100,-- Carcaças e meias-carcaças
2044200,02044200,-- Outras peças não desossadas
2044300,02044300,-- Desossadas
2045000,02045000,- Carnes de animais da espécie caprina
2050000,02050000,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
2061000,02061000,"- Da espécie bovina, frescas ou refrigeradas"
2062100,02062100,-- Línguas
2062200,02062200,-- Fígados
2062910,02062910,Rabos
2062990,02062990,Outros
2063000,02063000,"- Da espécie suína, frescas ou refrigeradas"
2064100,02064100,-- Fígados
2064900,02064900,-- Outras
2068000,02068000,"- Outras, frescas ou refrigeradas"
2069000,02069000,"- Outras, congeladas"
2071100,02071100,"-- Não cortadas em pedaços, frescas ou refrigeradas"
2071210,02071210,Com miudezas
2071220,02071220,Sem miudezas
2071300,02071300,"-- Pedaços e miudezas, frescos ou refrigerados"
2071411,02071411,Peitos
2071412,02071412,Coxas com sobrecoxas
2071413,02071413,Asas
2071419,02071419,Outros
2071421,02071421,"Peitos, coxas e sobrecoxas, formando uma só peça"
2071422,02071422,Peitos
2071423,02071423,Coxas com sobrecoxas
2071424,02071424,Carne mecanicamente separada
2071429,02071429,Outros
2071431,02071431,Fígados
2071432,02071432,Moelas
2071433,02071433,Corações
2071434,02071434,Pés e patas
2071439,02071439,Outras
2072400,02072400,"-- Não cortadas em pedaços, frescas ou refrigeradas"
2072500,02072500,"-- Não cortadas em pedaços, congeladas"
2072600,02072600,"-- Pedaços e miudezas, frescos ou refrigerados"
2072700,02072700,"-- Pedaços e miudezas, congelados"
2074100,02074100,"-- Não cortadas em pedaços, frescas ou refrigeradas"
2074200,02074200,"-- Não cortadas em pedaços, congeladas"
2074300,02074300,"-- Fígados gordos (foies gras), frescos ou refrigerados"
2074400,02074400,"-- Outras, frescas ou refrigeradas"
2074500,02074500,"-- Outras, congeladas"
2075100,02075100,"-- Não cortadas em pedaços, frescas ou refrigeradas"
2075200,02075200,"-- Não cortadas em pedaços, congeladas"
2075300,02075300,"-- Fígados gordos (foies gras), frescos ou refrigerados"
