NCM,NCM_DESCRICAO_ORIGINAL,NCM_DESCRICAO_HIERARQUICA
01012100,-- Reprodutores de raça pura,Animais vivos - Cavalos vivos - Reprodutores de raça pura
01012900,-- Outros,Animais vivos - Cavalos vivos - Outros
01013000,- Asininos,Animais vivos - Cavalos vivos - Asininos
01019000,- Outros,Animais vivos - Cavalos vivos - Outros
01022110,Prenhes ou com cria ao pé,Animais vivos - Bovinos vivos - Reprodutores raça pura - Fêmeas - Prenhes ou com cria ao pé
01022190,Outros,Animais vivos - Bovinos vivos - Reprodutores raça pura - Fêmeas - Outros
01022911,Prenhes ou com cria ao pé,Animais vivos - Bovinos vivos - Reprodutores raça pura - Machos - Prenhes ou com cria ao pé
01022919,Outros,Animais vivos - Bovinos vivos - Reprodutores raça pura - Machos - Outros
01022990,Outros,Animais vivos - Bovinos vivos - Reprodutores raça pura - Machos - Outros
01023110,Prenhes ou com cria ao pé,Animais vivos - Bovinos vivos - Prenhes ou com cria ao pé
01023190,Outros,Animais vivos - Bovinos vivos - Outros
01023911,Prenhes ou com cria ao pé,Animais vivos - Bovinos vivos - Prenhes ou com cria ao pé
01023919,Outros,Animais vivos - Bovinos vivos - Outros
01023990,Outros,Animais vivos - Bovinos vivos - Outros
01029000,- Outros,Animais vivos - Bovinos vivos - Outros
01031000,- Reprodutores de raça pura,Animais vivos - Suínos vivos - Reprodutores de raça pura
01039100,-- De peso inferior a 50 kg,Animais vivos - Suínos vivos - De peso inferior a 50 kg
01039200,-- De peso igual ou superior a 50 kg,Animais vivos - Suínos vivos - De peso igual ou superior a 50 kg
01041011,Prenhes ou com cria ao pé,Animais vivos - Ovinos e caprinos vivos - Prenhes ou com cria ao pé
01041019,Outros,Animais vivos - Ovinos e caprinos vivos - Outros
01041090,Outros,Animais vivos - Ovinos e caprinos vivos - Outros
01042010,Reprodutores de raça pura,Animais vivos - Ovinos e caprinos vivos - Reprodutores de raça pura
01042090,Outros,Animais vivos - Ovinos e caprinos vivos - Outros
01051110,"De linhas puras ou híbridas, para reprodução","Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - De linhas puras ou híbridas, para reprodução"
01051190,Outros,"Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - Outros"
01051200,-- Peruas e perus,"Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - Peruas e perus"
01051300,-- Patos,"Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - Patos"
01051400,-- Gansos,"Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - Gansos"
01051500,-- Galinhas-d'angola (pintadas),"Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - Galinhas-d'angola (pintadas)"
01059400,-- Aves da espécie Gallus domesticus,"Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - Aves da espécie Gallus domesticus"
01059900,-- Outros,"Animais vivos - Galinhas, patos, gansos, perus e galinhas-d'angola vivos - Outros"
01061100,-- Primatas,Animais vivos - Outros animais vivos - Primatas
01061200,"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)","Animais vivos - Outros animais vivos - Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)"
01061300,-- Camelos e outros camelídeos (Camelidae),Animais vivos - Outros animais vivos - Camelos e outros camelídeos (Camelidae)
01061400,-- Coelhos e lebres,Animais vivos - Outros animais vivos - Coelhos e lebres
01061900,-- Outros,Animais vivos - Outros animais vivos - Outros
01062000,- Répteis (incluindo as serpentes e as tartarugas marinhas),Animais vivos - Outros animais vivos - Répteis (incluindo as serpentes e as tartarugas marinhas)
01063100,-- Aves de rapina,Animais vivos - Outros animais vivos - Aves de rapina
