NCM,NCM_DESCRICAO,CAPITULO
1012100,-- Reprodutores de raça pura,10
1012900,-- Outros,10
1013000,- Asininos,10
1019000,- Outros,10
1022110,Prenhes ou com cria ao pé,10
1022190,Outros,10
1022911,Prenhes ou com cria ao pé,10
1022919,Outros,10
1022990,Outros,10
1023110,Prenhes ou com cria ao pé,10
1023190,Outros,10
1023911,Prenhes ou com cria ao pé,10
1023919,Outros,10
1023990,Outros,10
1029000,- Outros,10
1031000,- Reprodutores de raça pura,10
1039100,-- De peso inferior a 50 kg,10
1039200,-- De peso igual ou superior a 50 kg,10
1041011,Prenhes ou com cria ao pé,10
1041019,Outros,10
1041090,Outros,10
1042010,Reprodutores de raça pura,10
1042090,Outros,10
1051110,"De linhas puras ou híbridas, para reprodução",10
1051190,Outros,10
1051200,-- Peruas e perus,10
1051300,-- Patos,10
1051400,-- Gansos,10
1051500,-- Galinhas-d'angola (pintadas),10
1059400,-- Aves da espécie Gallus domesticus,10
1059900,-- Outros,10
1061100,-- Primatas,10
1061200,"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)",10
1061300,-- Camelos e outros camelídeos (Camelidae),10
1061400,-- Coelhos e lebres,10
1061900,-- Outros,10
1062000,- Répteis (incluindo as serpentes e as tartarugas marinhas),10
1063100,-- Aves de rapina,10
1063200,"-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)",10
1063310,"Avestruzes (Struthio camelus), para reprodução",10
1063390,Outros,10
1063900,-- Outras,10
1064100,-- Abelhas,10
1064900,-- Outros,10
1069000,- Outros,10
2011000,- Carcaças e meias-carcaças,20
2012010,Quartos dianteiros,20
2012020,Quartos traseiros,20
2012090,Outras,20
2013000,- Desossadas,20
2021000,- Carcaças e meias-carcaças,20
2022010,Quartos dianteiros,20
2022020,Quartos traseiros,20
2022090,Outras,20
2023000,- Desossadas,20
2031100,-- Carcaças e meias-carcaças,20
