NCM,NCM_DESCRICAO,POSICAO
1012100,-- Reprodutores de raça pura,0101
1012900,-- Outros,0101
1013000,- Asininos,0101
1019000,- Outros,0101
1022110,Prenhes ou com cria ao pé,0102
1022190,Outros,0102
1022911,Prenhes ou com cria ao pé,0102
1022919,Outros,0102
1022990,Outros,0102
1023110,Prenhes ou com cria ao pé,0102
1023190,Outros,0102
1023911,Prenhes ou com cria ao pé,0102
1023919,Outros,0102
1023990,Outros,0102
1029000,- Outros,0102
1031000,- Reprodutores de raça pura,0103
1039100,-- De peso inferior a 50 kg,0103
1039200,-- De peso igual ou superior a 50 kg,0103
1041011,Prenhes ou com cria ao pé,0104
1041019,Outros,0104
1041090,Outros,0104
1042010,Reprodutores de raça pura,0104
1042090,Outros,0104
1051110,"De linhas puras ou híbridas, para reprodução",0105
1051190,Outros,0105
1051200,-- Peruas e perus,0105
1051300,-- Patos,0105
1051400,-- Gansos,0105
1051500,-- Galinhas-d'angola (pintadas),0105
1059400,-- Aves da espécie Gallus domesticus,0105
1059900,-- Outros,0105
1061100,-- Primatas,0106
1061200,"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)",0106
1061300,-- Camelos e outros camelídeos (Camelidae),0106
1061400,-- Coelhos e lebres,0106
1061900,-- Outros,0106
1062000,- Répteis (incluindo as serpentes e as tartarugas marinhas),0106
1063100,-- Aves de rapina,0106
1063200,"-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)",0106
1063310,"Avestruzes (Struthio camelus), para reprodução",0106
1063390,Outros,0106
1063900,-- Outras,0106
1064100,-- Abelhas,0106
1064900,-- Outros,0106
1069000,- Outros,0106
2011000,- Carcaças e meias-carcaças,0201
2012010,Quartos dianteiros,0201
2012020,Quartos traseiros,0201
2012090,Outras,0201
2013000,- Desossadas,0201
2021000,- Carcaças e meias-carcaças,0202
2022010,Quartos dianteiros,0202
2022020,Quartos traseiros,0202
2022090,Outras,0202
2023000,- Desossadas,0202
2031100,-- Carcaças e meias-carcaças,0203
2031200,"-- Pernas, pás e respectivos pedaços, não desossados",0203
2031900,-- Outras,0203
2032100,-- Carcaças e meias-carcaças,0203
2032200,"-- Pernas, pás e respectivos pedaços, não desossados",0203
2032900,-- Outras,0203
2041000,"- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas",0204
2042100,-- Carcaças e meias-carcaças,0204
2042200,-- Outras peças não desossadas,0204
2042300,-- Desossadas,0204
2043000,"- Carcaças e meias-carcaças de cordeiro, congeladas",0204
2044100,-- Carcaças e meias-carcaças,0204
2044200,-- Outras peças não desossadas,0204
2044300,-- Desossadas,0204
2045000,- Carnes de animais da espécie caprina,0204
2050000,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",0205
2061000,"- Da espécie bovina, frescas ou refrigeradas",0206
2062100,-- Línguas,0206
2062200,-- Fígados,0206
2062910,Rabos,0206
2062990,Outros,0206
